Month,Avg Players,Peak Players
Last 30 Days,23655.54,37480
June 2024,23631.25,39597
May 2024,21754.11,38243
April 2024,22072.68,38737
March 2024,21597.90,36713
February 2024,21550.53,37022
January 2024,25219.23,41787
December 2023,26026.29,45768
November 2023,34099.66,65068
October 2023,41346.18,75908
September 2023,36107.41,61055
August 2023,41530.79,66034
July 2023,48257.14,72446
June 2023,44076.76,70615
May 2023,42502.72,69526
April 2023,44972.30,73447
March 2023,43346.57,75697
February 2023,49562.02,83672
January 2023,59718.10,94570
December 2022,54575.73,87058
November 2022,47157.61,81482
October 2022,45094.28,76139
September 2022,45744.31,77774
August 2022,56890.49,96148
July 2022,86926.77,149693
June 2022,97224.10,247292
May 2022,44795.39,75922
April 2022,46642.82,83133
March 2022,38219.71,61402
February 2022,50184.09,86443
January 2022,61978.73,96650
December 2021,53273.34,92234
November 2021,40559.88,69159
October 2021,36967.10,66708
September 2021,39489.46,66133
August 2021,47548.12,73618
July 2021,55917.67,95701
June 2021,74676.49,147475
May 2021,45419.00,84679
April 2021,46678.07,73572
March 2021,49320.37,76387
February 2021,61785.58,98637
January 2021,63160.05,92006
December 2020,56324.05,86471
November 2020,56425.60,98433
October 2020,41760.00,71828
September 2020,45240.48,73081
August 2020,47770.61,75208
July 2020,57163.99,90664
June 2020,59435.70,97813
May 2020,60918.07,101631
April 2020,82091.26,125636
March 2020,87738.70,157355
February 2020,53394.18,138648
January 2020,45655.85,74200
December 2019,40473.32,66043
November 2019,36183.73,62857
October 2019,31256.23,54069
September 2019,34210.82,56829
August 2019,43146.76,70047
July 2019,47442.55,75524
June 2019,43532.02,83446
May 2019,33224.10,55915
April 2019,32627.89,54895
March 2019,33546.95,56169
February 2019,32446.72,52697
January 2019,36177.70,58388
December 2018,42992.14,76351
November 2018,51906.05,106170
October 2018,29337.62,49049
September 2018,28288.19,49072
August 2018,32497.43,50789
July 2018,45060.20,70823
June 2018,41794.49,79451
May 2018,31404.34,50021
April 2018,34418.28,58344
March 2018,38309.15,64647
February 2018,41955.97,71259
January 2018,49018.06,86640
December 2017,46473.28,85894
November 2017,34137.79,63378
October 2017,37636.82,68570
September 2017,43690.15,78303
August 2017,34847.20,57421
July 2017,41812.09,72455
June 2017,47080.74,76482
May 2017,37352.26,66342
April 2017,42206.47,73857
March 2017,41052.97,75022
February 2017,53134.72,100723
January 2017,46440.81,76879
December 2016,36022.81,67651
November 2016,31316.81,54698
October 2016,32923.02,59524
September 2016,37334.83,67157
August 2016,35210.62,60039
July 2016,39067.70,69764
June 2016,42386.90,71194
May 2016,39182.24,78089
April 2016,35385.63,63900
March 2016,35664.04,63069
February 2016,37747.59,65577
January 2016,39054.41,67018
December 2015,32092.93,55946
November 2015,32862.44,59880
October 2015,38020.88,64516
September 2015,35498.30,60299
August 2015,45057.02,84838
July 2015,46764.79,74888
June 2015,42871.49,80162
May 2015,5.28,28
