Month,Avg Players,Peak Players
Last 30 Days,4112.01,6065
June 2024,4673.34,7292
May 2024,4363.91,7366
April 2024,4081.49,6636
March 2024,4138.62,6527
February 2024,3529.76,5862
January 2024,4152.99,6218
December 2023,4147.08,7153
November 2023,4413.86,6832
October 2023,4280.08,7905
September 2023,4125.68,6521
August 2023,4809.43,7601
July 2023,6159.35,10379
June 2023,4958.88,11412
May 2023,3608.12,5643
April 2023,4211.93,6167
March 2023,3917.04,6189
February 2023,4217.82,6441
January 2023,4737.81,6827
December 2022,3989.85,6402
November 2022,3611.80,5450
October 2022,3547.98,5415
September 2022,3720.19,5914
August 2022,4389.47,6364
July 2022,5023.39,9302
June 2022,3765.45,5508
May 2022,3507.17,5538
April 2022,3592.25,5469
March 2022,3431.52,5304
February 2022,3372.14,5223
January 2022,3672.93,5702
December 2021,3061.71,5417
November 2021,2674.42,4194
October 2021,3030.78,4894
September 2021,3299.98,5270
August 2021,3909.34,5504
July 2021,3988.41,5751
June 2021,4587.93,7242
May 2021,5562.56,11025
April 2021,4870.92,9039
March 2021,3191.40,5318
February 2021,3208.93,4844
January 2021,3143.55,4960
December 2020,2714.19,5064
November 2020,2479.20,4249
October 2020,2738.89,4309
September 2020,3011.95,4843
August 2020,3452.74,4984
July 2020,3519.14,4865
June 2020,4483.34,11795
May 2020,4339.59,6209
April 2020,4440.43,6412
March 2020,4022.89,6733
February 2020,3953.95,6705
January 2020,4224.77,7026
December 2019,3125.86,6585
November 2019,2485.24,4255
October 2019,2491.60,4317
September 2019,2535.17,4422
August 2019,2950.07,4628
July 2019,2813.39,4810
June 2019,2603.48,4114
May 2019,2593.95,4564
April 2019,2824.05,5186
March 2019,3350.09,5847
February 2019,3471.50,5785
January 2019,2333.88,5084
December 2018,1124.37,2535
November 2018,776.17,1546
October 2018,935.45,1770
September 2018,890.82,1557
August 2018,942.91,1561
July 2018,1004.40,1545
June 2018,1078.73,1848
May 2018,1011.72,2156
April 2018,976.84,1730
March 2018,987.95,1650
February 2018,825.91,1530
January 2018,1102.88,2446
December 2017,631.93,1249
November 2017,527.04,1000
October 2017,473.59,955
September 2017,571.42,1100
August 2017,808.25,1271
July 2017,805.19,1377
June 2017,642.24,1388
May 2017,504.67,992
April 2017,521.18,994
March 2017,471.82,1069
February 2017,510.98,941
January 2017,516.39,1035
December 2016,550.73,1049
November 2016,537.15,1166
October 2016,485.31,1016
September 2016,405.04,856
August 2016,471.88,853
July 2016,438.86,951
June 2016,321.11,547
May 2016,293.05,574
April 2016,265.09,556
March 2016,248.23,877
February 2016,192.25,474
January 2016,96.65,268
December 2015,113.20,258
