Title,Date,Category
Update #6.5 Now Live!,2023-06-23 18:05:14,Update
Update #6 Now Live!,2022-12-24 03:35:40,Update
Update #5.5: Night Vision now released!,2022-08-22 21:14:40,Update
Update #5 Now Released!,2022-07-14 01:56:29,Update
Update #4 Now Released!,2021-12-16 09:34:19,Update
Update #3.5: Juvenile Pouncing & Interactive Water,2021-05-29 06:41:38,Update
Roadmap Update,2021-05-08 03:32:29,Update
Frequent Updates + Legacy Branch,2018-01-20 00:14:33,Update
Happy Anniversary! Update,2017-11-29 21:12:47,Update
"Status Update, Fixes & Legacy Branch.",2017-10-29 10:55:44,Update
Family Sharing Update,2017-09-22 08:27:42,Update
December Update,2016-12-08 01:41:59,Update
October Development Update Stream,2016-10-04 00:28:26,Update
September Development Update,2016-09-03 01:33:44,Update
August Development Update,2016-07-31 23:14:06,Update
Summer Development Update,2016-06-28 21:30:38,Update
Changes to Updates and Testing,2016-04-27 16:32:23,Update
Patch 0.14.28.61 now available!,2024-05-03 05:41:31,Patch
Patch 0.13.42.18,2024-02-19 23:02:22,Patch
Patch 0.13.26.10 is now available,2024-01-23 17:06:31,Patch
Patch 0.13.18.17,2023-12-20 01:58:50,Patch
Patch 0.12.51.02 Now Released!,2023-11-14 21:26:50,Patch
Patch 0.11.57.02,2023-09-04 20:15:06,Patch
Patch 0.11.54.12,2023-07-21 21:14:55,Patch
Patch 0.9.91.06: Night Vision changes,2022-09-13 03:08:23,Patch
EVRIMA Patch 0.8.77.141,2022-03-05 03:32:16,Patch
EVRIMA Patch 0.8.75.134,2022-03-03 21:12:15,Patch
EVRIMA Patch 0.7.111.31,2021-08-12 04:16:00,Patch
EVRIMA Patch 0.7.109.09,2021-06-03 04:21:20,Patch
EVRIMA Patch 0.7.92.02,2021-05-06 05:51:25,Patch
EVRIMA Patch 0.7.91.13,2021-05-06 00:03:52,Patch
EVRIMA Patch 0.6.48.29,2021-01-28 05:31:33,Patch
EVRIMA Patch 0.6.30.37,2020-12-19 08:42:21,Patch
EVRIMA Patch 0.6.22.12,2020-12-08 07:44:19,Patch
EVRIMA Patch 0.6.20.29,2020-12-05 07:57:16,Patch
EVRIMA Patch 0.6.15.19,2020-12-01 09:47:41,Patch
EVRIMA Patch 0.6.15.18,2020-12-01 04:06:53,Patch
EVRIMA Patch 0.5.19.28,2020-10-03 22:35:00,Patch
EVRIMA Patch 0.5.12.08,2020-09-26 15:13:11,Patch
Evrima Patch 0.4.14.07,2020-08-15 03:51:08,Patch
EVRIMA Patch 0.4.7.05,2020-07-17 03:03:24,Patch
EVRIMA Patch 0.4.3.13,2020-06-25 04:26:40,Patch
Patch 0.1.53.3,2019-04-11 20:48:05,Patch
Patch ID: 0.1.34.1,2018-02-26 14:10:44,Patch
Patch ID: 0.1.34.0,2018-02-20 09:27:51,Patch
Patch 0.1.33.5576,2018-01-29 17:43:42,Patch
Patch 0.1.33.5567,2018-01-29 13:06:27,Patch
Patch 0.1.33.5564,2018-01-29 12:07:03,Patch
Patch 0.1.33.5561,2018-01-26 13:59:59,Patch
Patch 0.1.33.5512,2018-01-25 11:57:13,Patch
Patch 0.1.33.5484,2018-01-24 09:52:20,Patch
Patch 0.1.33.5475,2018-01-24 02:59:56,Patch
Patch 0.1.33.5455,2018-01-23 07:16:24,Patch
Patch 0.1.33.5452,2018-01-23 06:32:12,Patch
Patch 0.1.33.5450,2018-01-23 03:03:19,Patch
Patch 0.1.33.5446,2018-01-21 20:34:23,Patch
Patch 0.1.33.5408,2018-01-21 05:07:22,Patch
Patch 0.1.33.5404,2018-01-21 00:11:06,Patch
Patch 0.1.33.5396,2018-01-20 04:22:20,Patch
Patch 0.1.33.5391,2018-01-20 00:00:36,Patch
Patch 0.1.33.5388,2018-01-19 19:48:03,Patch
Patch 0.1.33.5379,2018-01-19 17:44:32,Patch
Patch 0.1.33.5377,2018-01-19 16:58:00,Patch
Patch 0.1.33.5374,2018-01-19 08:18:46,Patch
Patch 0.1.33.5364,2018-01-19 02:38:02,Patch
Patch 0.1.33.5360,2018-01-19 00:13:12,Patch
Patch 0.1.33.5358,2018-01-18 21:04:25,Patch
Patch 0.1.33.5353,2018-01-18 18:31:40,Patch
Patch 0.1.33.5352,2018-01-18 10:57:31,Patch
Patch 0.1.33.5347,2018-01-18 09:15:31,Patch
Patch 0.1.33.5344,2018-01-18 05:29:57,Patch
Patch 0.1.33.5343,2018-01-18 04:14:30,Patch
Patch 0.1.33.5340,2018-01-16 22:18:34,Patch
Patch 0.1.33.5296,2018-01-14 14:45:38,Patch
Patch 0.1.33.5272,2018-01-13 12:58:05,Patch
Patch 0.1.33.5269,2018-01-12 20:38:55,Patch
Patch 0.1.33.5257,2018-01-10 08:26:00,Patch
Patch 0.1.33.5225,2018-01-08 03:17:16,Patch
Patch 0.1.33.5221,2018-01-07 10:42:50,Patch
Patch 0.1.33.5211,2018-01-07 03:39:11,Patch
Patch 0.1.33.5206,2018-01-06 09:40:10,Patch
Patch 0.1.33.5196,2018-01-05 08:16:44,Patch
Patch 0.1.33.5189,2018-01-05 05:04:09,Patch
Patch 0.1.33.5174,2018-01-04 07:59:09,Patch
Patch 0.1.33.5165,2018-01-01 09:14:25,Patch
Patch 0.1.33.5126,2017-12-31 05:09:44,Patch
Patch 0.1.33.5112,2017-12-29 03:48:47,Patch
Patch 0.1.31.5107,2017-12-25 16:18:45,Patch
Patch 0.1.31.5099,2017-12-25 14:18:15,Patch
Patch 0.1.30.5088,2017-12-24 22:09:29,Patch
Patch 0.1.30.5077,2017-12-23 18:00:53,Patch
Patch 0.1.30.5073,2017-12-21 00:40:47,Patch
Patch 0.1.30.5024,2017-12-18 03:48:48,Patch
Patch 0.1.30.4931,2017-12-14 06:48:30,Patch
Patch 0.1.30.4896,2017-12-12 06:24:17,Patch
Patch 0.1.30.4873,2017-12-10 18:14:36,Patch
Patch 0.1.30.4866,2017-12-09 20:43:34,Patch
Patch 0.1.29.4861,2017-12-08 16:07:57,Patch
Nightly Patches + Fast Development,2017-12-08 15:22:57,Patch
Patch 0.1.29.4792,2017-11-20 03:16:01,Patch
Patch 0.1.29.4788,2017-11-19 22:27:43,Patch
Patch 0.1.29.4782,2017-11-18 20:25:54,Patch
Patch 0.1.29.4773,2017-11-17 20:28:32,Patch
Patch 0.1.29.4765,2017-11-15 13:09:17,Patch
Patch 0.1.29.4760,2017-11-15 06:24:59,Patch
Patch 0.1.29.4758,2017-11-14 06:08:56,Patch
Patch 0.1.29.4753,2017-11-13 08:34:45,Patch
Patch 0.1.28.4670,2017-11-03 17:11:43,Patch
Patch 0.1.28.4653,2017-11-02 15:15:45,Patch
Patch 0.1.28.4649,2017-10-29 11:54:11,Patch
Patch 0.1.28.4639,2017-10-29 04:19:16,Patch
Patch 0.1.28.4636,2017-10-27 04:26:43,Patch
Patch 0.1.27.4626,2017-10-25 11:11:20,Patch
Patch 0.1.27.4612,2017-10-23 21:15:55,Patch
Patch 0.1.27.4593,2017-10-22 05:29:23,Patch
Patch 0.1.27.4578,2017-10-18 21:06:20,Patch
Patch 0.1.27.4574,2017-10-17 17:29:30,Patch
Patch 0.1.25.4560,2017-10-16 10:38:04,Patch
Patch 0.1.25.4530,2017-10-12 13:36:19,Patch
Patch 0.1.24.4495,2017-10-07 05:04:22,Patch
Patch 0.1.23.4472,2017-09-29 03:07:38,Patch
Patch 0.1.23.4464,2017-09-28 21:59:03,Patch
Patch 0.1.23.4456,2017-09-26 14:59:07,Patch
Patch 0.1.23.4452,2017-09-25 18:45:44,Patch
Patch 0.1.22.4429,2017-09-23 06:49:24,Patch
Patch 0.1.19.4409,2017-09-22 13:23:02,Patch
Patch 0.1.19.4407,2017-09-20 16:17:45,Patch
Patch 0.1.19.4392,2017-09-20 09:47:50,Patch
Patch 0.1.18.4373,2017-09-11 11:41:51,Patch
Patch 0.1.17.4360,2017-08-31 22:41:03,Patch
Patch 0.1.16.4262,2017-08-23 07:46:16,Patch
Patch 0.1.16.4243,2017-08-20 03:57:25,Patch
Patch 0.1.16.4233,2017-08-18 07:21:41,Patch
Patch 0.1.16.4225,2017-08-18 01:14:13,Patch
Patch 0.1.16.4211,2017-08-14 17:10:40,Patch
Patch 0.1.16.4199,2017-08-12 08:32:15,Patch
Patch 0.1.16.4181,2017-08-09 06:25:19,Patch
Patch 0.1.16.4160,2017-08-05 08:49:16,Patch
Patch 0.1.15.4141,2017-08-04 22:48:32,Patch
Patch 0.1.15.4132,2017-07-31 19:16:45,Patch
Patch 0.1.15.4111,2017-07-29 11:31:00,Patch
Patch 0.1.15.4095,2017-07-28 17:52:33,Patch
Patch 0.1.15.4078,2017-07-26 12:52:58,Patch
Patch 0.1.15.4061,2017-07-20 12:46:35,Patch
Patch 0.1.15.4017,2017-07-20 09:53:21,Patch
Patch 0.1.15.4005,2017-07-15 14:06:31,Patch
Patch 0.1.15.3980,2017-07-12 06:03:30,Patch
Patch 0.1.15.3958,2017-07-07 16:59:08,Patch
Patch 0.1.15.3938,2017-07-05 11:36:31,Patch
Patch 0.1.15.3932,2017-07-02 23:19:40,Patch
Patch 0.1.15.3886,2017-06-30 07:51:41,Patch
Patch 0.1.15.3877,2017-06-29 06:24:29,Patch
Patch 0.1.15.3871,2017-06-24 12:48:56,Patch
Patch 0.1.14.3809,2017-06-16 07:54:42,Patch
Patch 0.1.14.3789,2017-06-10 22:39:29,Patch
Patch 0.1.14.3765,2017-06-10 00:24:20,Patch
Patch 0.1.14.3755,2017-06-04 15:45:49,Patch
Patch 0.1.14.3697,2017-05-15 03:40:29,Patch
Patch 0.1.14.3674,2017-05-06 23:11:40,Patch
Patch 0.1.14.3662,2017-05-06 13:56:17,Patch
Patch 0.1.14.3636,2017-05-01 10:46:33,Patch
Patch 0.1.14.3624,2017-05-01 02:45:50,Patch
Patch 0.1.14.3613,2017-04-28 07:51:19,Patch
Patch 0.1.14.3594,2017-04-28 04:05:19,Patch
Patch 0.1.14.3591,2017-04-27 07:37:14,Patch
Patch 0.1.13.3435,2017-04-07 09:20:23,Patch
Patch 0.1.13.3407,2017-03-29 17:28:24,Patch
Patch 0.1.12.3360,2017-03-21 21:49:42,Patch
Patch 0.1.12.3348,2017-03-13 06:25:40,Patch
Patch 0.1.11.3280,2017-03-10 06:19:09,Patch
Patch 0.1.11.3268,2017-03-07 01:43:12,Patch
Patch 0.1.11.3218,2017-02-06 08:25:31,Patch
Patch 0.1.11.3189,2017-01-31 13:33:32,Patch
